band,ch_i,ch_j,T_obs,p_perm,p_fdr,reject_fdr,reject_fwer,T_crit_fwer
alpha,Ch1,Ch2,0.7170794160769003,0.004975124378109453,0.04643449419568823,True,True,0.3157610686131503
alpha,Ch1,Ch3,0.06194777759257198,0.7960199004975125,0.891542288557214,False,False,0.3157610686131503
alpha,Ch1,Ch4,0.23368365816322975,0.04477611940298507,0.3134328358208955,False,False,0.3157610686131503
alpha,Ch1,Ch5,0.10967225866888194,0.43781094527363185,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch1,Ch6,0.09060133470712685,0.5422885572139303,0.891542288557214,False,False,0.3157610686131503
alpha,Ch1,Ch7,0.11019405933700416,0.472636815920398,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch1,Ch8,0.2016967720904045,0.09950248756218906,0.4643449419568822,False,False,0.3157610686131503
alpha,Ch2,Ch3,0.07432878084682099,0.7064676616915423,0.891542288557214,False,False,0.3157610686131503
alpha,Ch2,Ch4,0.0685430592839442,0.7611940298507462,0.891542288557214,False,False,0.3157610686131503
alpha,Ch2,Ch5,0.053769283725680864,0.845771144278607,0.9108304630692691,False,False,0.3157610686131503
alpha,Ch2,Ch6,0.060554989914994126,0.7611940298507462,0.891542288557214,False,False,0.3157610686131503
alpha,Ch2,Ch7,0.11151424591414973,0.4626865671641791,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch2,Ch8,0.4173255997245107,0.004975124378109453,0.04643449419568823,True,True,0.3157610686131503
alpha,Ch3,Ch4,0.7889576881148738,0.004975124378109453,0.04643449419568823,True,True,0.3157610686131503
alpha,Ch3,Ch5,0.1823219190729558,0.14427860696517414,0.4643449419568822,False,False,0.3157610686131503
alpha,Ch3,Ch6,0.08996060594959411,0.4626865671641791,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch3,Ch7,0.07475321684628211,0.7711442786069652,0.891542288557214,False,False,0.3157610686131503
alpha,Ch3,Ch8,0.11697839370988555,0.3880597014925373,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch4,Ch5,0.08440748920984607,0.5771144278606966,0.891542288557214,False,False,0.3157610686131503
alpha,Ch4,Ch6,0.15830419176439578,0.14925373134328357,0.4643449419568822,False,False,0.3157610686131503
alpha,Ch4,Ch7,0.2005217181689027,0.07960199004975124,0.445771144278607,False,False,0.3157610686131503
alpha,Ch4,Ch8,0.07057076133696413,0.7960199004975125,0.891542288557214,False,False,0.3157610686131503
alpha,Ch5,Ch6,0.11451759573291938,0.3880597014925373,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch5,Ch7,0.11402160960348943,0.417910447761194,0.8271144278606966,False,False,0.3157610686131503
alpha,Ch5,Ch8,0.047569764105769165,0.9203980099502488,0.945273631840796,False,False,0.3157610686131503
alpha,Ch6,Ch7,0.04865392077542379,0.945273631840796,0.945273631840796,False,False,0.3157610686131503
alpha,Ch6,Ch8,0.07951980674916787,0.6567164179104478,0.891542288557214,False,False,0.3157610686131503
alpha,Ch7,Ch8,0.17140018215697583,0.12935323383084577,0.4643449419568822,False,False,0.3157610686131503
